v8-version,8,4,371,19,-node.18,0
code-creation,Builtin,3,5363,0x13bfac0,148,ArrayIncludesPackedDoubles
code-creation,Builtin,3,5378,0x13bfb60,216,ArrayIncludesHoleyDoubles
code-creation,Builtin,3,5395,0x13bfc40,561,ArrayIncludes
code-creation,Builtin,3,5409,0x13bfe80,882,ArrayIndexOfSmiOrObject
code-creation,Builtin,3,5423,0x13c0200,124,ArrayIndexOfPackedDoubles
code-creation,Builtin,3,5438,0x13c0280,124,ArrayIndexOfHoleyDoubles
code-creation,Builtin,3,5453,0x13c0300,569,ArrayIndexOf
code-creation,Builtin,3,5466,0x13c0540,12,ArrayPop
code-creation,Builtin,3,5479,0x13c0560,674,ArrayPrototypePop
code-creation,Builtin,3,5493,0x13c0820,12,ArrayPush
code-creation,Builtin,3,5506,0x13c0840,2758,ArrayPrototypePush
code-creation,Builtin,3,5520,0x13c1320,12,ArrayShift
code-creation,Builtin,3,5533,0x13c1340,12,ArrayUnshift
code-creation,Builtin,3,5546,0x13c1360,1074,CloneFastJSArray
code-creation,Builtin,3,5560,0x13c17a0,2482,CloneFastJSArrayFillingHoles
code-creation,Builtin,3,5575,0x13c2160,1082,ExtractFastJSArray
code-creation,Builtin,3,5591,0x13c25a0,287,ArrayPrototypeEntries
code-creation,Builtin,3,5606,0x13c26c0,271,ArrayPrototypeKeys
code-creation,Builtin,3,5622,0x13c27e0,287,ArrayPrototypeValues
code-creation,Builtin,3,5637,0x13c2900,4332,ArrayIteratorPrototypeNext
code-creation,Builtin,3,5651,0x13c3a00,3968,FlattenIntoArray
code-creation,Builtin,3,5665,0x13c49a0,3992,FlatMapIntoArray
code-creation,Builtin,3,5679,0x13c5940,508,ArrayPrototypeFlat
code-creation,Builtin,3,5693,0x13c5b40,556,ArrayPrototypeFlatMap
code-creation,Builtin,3,5707,0x13c5d80,12,ArrayBufferConstructor
code-creation,Builtin,3,5722,0x13c5da0,12,ArrayBufferConstructor_DoNotInitialize
code-creation,Builtin,3,5739,0x13c5dc0,12,ArrayBufferPrototypeGetByteLength
code-creation,Builtin,3,5757,0x13c5de0,12,ArrayBufferIsView
code-creation,Builtin,3,5772,0x13c5e00,12,ArrayBufferPrototypeSlice
code-creation,Builtin,3,5787,0x13c5e20,608,AsyncFunctionEnter
code-creation,Builtin,3,5801,0x13c60a0,161,AsyncFunctionReject
code-creation,Builtin,3,5815,0x13c6160,153,AsyncFunctionResolve
code-creation,Builtin,3,5829,0x13c6200,20,AsyncFunctionLazyDeoptContinuation
code-creation,Builtin,3,5844,0x13c6220,1286,AsyncFunctionAwaitCaught
code-creation,Builtin,3,5860,0x13c6740,1286,AsyncFunctionAwaitUncaught
code-creation,Builtin,3,5874,0x13c6c60,187,AsyncFunctionAwaitRejectClosure
code-creation,Builtin,3,5889,0x13c6d20,179,AsyncFunctionAwaitResolveClosure
code-creation,Builtin,3,5905,0x13c6de0,12,BigIntConstructor
code-creation,Builtin,3,5919,0x13c6e00,12,BigIntAsUintN
code-creation,Builtin,3,5932,0x13c6e20,12,BigIntAsIntN
code-creation,Builtin,3,5946,0x13c6e40,12,BigIntPrototypeToLocaleString
code-creation,Builtin,3,5960,0x13c6e60,12,BigIntPrototypeToString
code-creation,Builtin,3,5975,0x13c6e80,12,BigIntPrototypeValueOf
code-creation,Builtin,3,5990,0x13c6ea0,12,CallSitePrototypeGetColumnNumber
code-creation,Builtin,3,6005,0x13c6ec0,12,CallSitePrototypeGetEvalOrigin
code-creation,Builtin,3,6020,0x13c6ee0,12,CallSitePrototypeGetFileName
code-creation,Builtin,3,6035,0x13c6f00,12,CallSitePrototypeGetFunction
code-creation,Builtin,3,6050,0x13c6f20,12,CallSitePrototypeGetFunctionName
tick,0x7fc5d9de098d,6068,0,0x0,6
tick,0x7fc5d9de098d,6097,0,0x0,6
tick,0x7fc5da8e9410,6103,0,0x0,6
tick,0x7fc5da0b401a,6110,0,0x0,6
code-creation,Builtin,3,6119,0x13c6f40,12,CallSitePrototypeGetLineNumber
code-creation,Builtin,3,6145,0x13c6f60,12,CallSitePrototypeGetMethodName
code-creation,Builtin,3,6154,0x13c6f80,12,CallSitePrototypeGetPosition
code-creation,Builtin,3,6177,0x13c6fa0,12,CallSitePrototypeGetPromiseIndex
code-creation,Builtin,3,6196,0x13c6fc0,12,CallSitePrototypeGetScriptNameOrSourceURL
code-creation,Builtin,3,6206,0x13c6fe0,12,CallSitePrototypeGetThis
code-creation,Builtin,3,6214,0x13c7000,12,CallSitePrototypeGetTypeName
code-creation,Builtin,3,6223,0x13c7020,12,CallSitePrototypeIsAsync
code-creation,Builtin,3,6232,0x13c7040,12,CallSitePrototypeIsConstructor
code-creation,Builtin,3,6241,0x13c7060,12,CallSitePrototypeIsEval
code-creation,Builtin,3,6250,0x13c7080,12,CallSitePrototypeIsNative
code-creation,Builtin,3,6259,0x13c70a0,12,CallSitePrototypeIsPromiseAll
code-creation,Builtin,3,6267,0x13c70c0,12,CallSitePrototypeIsToplevel
code-creation,Builtin,3,6276,0x13c70e0,12,CallSitePrototypeToString
code-creation,Builtin,3,6285,0x13c7100,12,ConsoleDebug
code-creation,Builtin,3,6293,0x13c7120,12,ConsoleError
code-creation,Builtin,3,6301,0x13c7140,12,ConsoleInfo
code-creation,Builtin,3,6308,0x13c7160,12,ConsoleLog
code-creation,Builtin,3,6316,0x13c7180,12,ConsoleWarn
code-creation,Builtin,3,6324,0x13c71a0,12,ConsoleDir
code-creation,Builtin,3,6331,0x13c71c0,12,ConsoleDirXml
code-creation,Builtin,3,6339,0x13c71e0,12,ConsoleTable
code-creation,Builtin,3,6347,0x13c7200,12,ConsoleTrace
code-creation,Builtin,3,6354,0x13c7220,12,ConsoleGroup
code-creation,Builtin,3,6362,0x13c7240,12,ConsoleGroupCollapsed
code-creation,Builtin,3,6371,0x13c7260,12,ConsoleGroupEnd
code-creation,Builtin,3,6378,0x13c7280,12,ConsoleClear
code-creation,Builtin,3,6386,0x13c72a0,12,ConsoleCount
code-creation,Builtin,3,6394,0x13c72c0,12,ConsoleCountReset
code-creation,Builtin,3,6402,0x13c72e0,12,ConsoleAssert
code-creation,Builtin,3,6409,0x13c7300,12,ConsoleProfile
code-creation,Builtin,3,6417,0x13c7320,12,ConsoleProfileEnd
code-creation,Builtin,3,6425,0x13c7340,12,ConsoleTime
code-creation,Builtin,3,6433,0x13c7360,12,ConsoleTimeLog
code-creation,Builtin,3,6441,0x13c7380,12,ConsoleTimeEnd
code-creation,Builtin,3,6449,0x13c73a0,12,ConsoleTimeStamp
code-creation,Builtin,3,6457,0x13c73c0,12,ConsoleContext
code-creation,Builtin,3,6465,0x13c73e0,12,DataViewConstructor
code-creation,Builtin,3,6473,0x13c7400,12,DateConstructor
code-creation,Builtin,3,6481,0x13c7420,238,DatePrototypeGetDate
code-creation,Builtin,3,6489,0x13c7520,238,DatePrototypeGetDay
code-creation,Builtin,3,6507,0x13c7620,238,DatePrototypeGetFullYear
code-creation,Builtin,3,6526,0x13c7720,238,DatePrototypeGetHours
code-creation,Builtin,3,6535,0x13c7820,206,DatePrototypeGetMilliseconds
code-creation,Builtin,3,6543,0x13c7900,238,DatePrototypeGetMinutes
code-creation,Builtin,3,6552,0x13c7a00,238,DatePrototypeGetMonth
code-creation,Builtin,3,6561,0x13c7b00,238,DatePrototypeGetSeconds
code-creation,Builtin,3,6569,0x13c7c00,142,DatePrototypeGetTime
code-creation,Builtin,3,6577,0x13c7ca0,206,DatePrototypeGetTimezoneOffset
code-creation,Builtin,3,6586,0x13c7d80,206,DatePrototypeGetUTCDate
code-creation,Builtin,3,6595,0x13c7e60,206,DatePrototypeGetUTCDay
code-creation,Builtin,3,6603,0x13c7f40,206,DatePrototypeGetUTCFullYear
code-creation,Builtin,3,6612,0x13c8020,206,DatePrototypeGetUTCHours
code-creation,Builtin,3,6630,0x13c8100,206,DatePrototypeGetUTCMilliseconds
code-creation,Builtin,3,6639,0x13c81e0,206,DatePrototypeGetUTCMinutes
code-creation,Builtin,3,6648,0x13c82c0,206,DatePrototypeGetUTCMonth
code-creation,Builtin,3,6656,0x13c83a0,206,DatePrototypeGetUTCSeconds
code-creation,Builtin,3,6665,0x13c8480,142,DatePrototypeValueOf
code-creation,Builtin,3,6673,0x13c8520,460,DatePrototypeToPrimitive
code-creation,Builtin,3,6681,0x13c8700,12,DatePrototypeGetYear
code-creation,Builtin,3,6689,0x13c8720,12,DatePrototypeSetYear
