Statistical profiling result from isolate-0x4f9f120-72-v8.log, (28439 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      4    0.0%    0.1%  munmap
      4    0.0%    0.1%  __pthread_disable_asynccancel
      4    0.0%    0.1%  __GI___pthread_mutex_lock
      2    0.0%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      2    0.0%    0.0%  mmap
      2    0.0%    0.0%  __pthread_cond_broadcast
      2    0.0%    0.0%  __lll_unlock_wake
      1    0.0%    0.0%  strlen
      1    0.0%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)
      1    0.0%    0.0%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
      1    0.0%    0.0%  sigemptyset
      1    0.0%    0.0%  fputc
      1    0.0%    0.0%  __pthread_mutex_unlock_usercnt
      1    0.0%    0.0%  __getpid
      1    0.0%    0.0%  __GI___pthread_mutex_unlock
      1    0.0%    0.0%  __GI___pthread_mutex_init

 [Summary]:
   ticks  total  nonlib   name
   2978   10.5%   71.5%  JavaScript
   1139    4.0%   27.4%  C++
    879    3.1%   21.1%  GC
  24276   85.4%          Shared libraries
     46    0.2%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
     96   25.7%    0.3%  __libc_malloc
     54   14.4%    0.2%  memchr
     52   13.9%    0.2%  __libc_free
     29    7.8%    0.1%  __GI___pthread_getspecific
     27    7.2%    0.1%  operator delete(void*)
     25    6.7%    0.1%  __errno_location
     24    6.4%    0.1%  operator new(unsigned long)
     21    5.6%    0.1%  __clock_gettime
     17    4.5%    0.1%  __GI___libc_write
     14    3.7%    0.0%  writev
      6    1.6%    0.0%  __write
      3    0.8%    0.0%  _IO_fwrite
      2    0.5%    0.0%  __pthread_enable_asynccancel
      2    0.5%    0.0%  __pthread_disable_asynccancel
      1    0.3%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      1    0.3%    0.0%  __pthread_cond_signal

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
  20317   71.4%  /usr/local/bin/node
  12633   62.2%    /usr/local/bin/node
   1622   12.8%      LazyCompile: *end _http_outgoing.js:769:45
   1616   99.6%        LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
   1526   94.4%          LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
   1523   99.8%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
     74    4.6%          LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
     74  100.0%            LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17
   1323   10.5%      LazyCompile: *resOnFinish _http_server.js:756:21
   1314   99.3%        LazyCompile: *onFinish _http_outgoing.js:764:18
   1290   98.2%          LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
   1290  100.0%            LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
     16    1.2%          LazyCompile: ~callback internal/streams/writable.js:511:44
     16  100.0%            LazyCompile: *afterWriteTick internal/streams/writable.js:451:24
   1187    9.4%      LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
   1122   94.5%        LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
   1116   99.5%          LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
   1116  100.0%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
     52    4.4%        LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
     52  100.0%          LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17
     48   92.3%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
      4    7.7%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
     13    1.1%        LazyCompile: ~json /usr/src/app/node_modules/express/lib/response.js:239:25
     10   76.9%          LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
     10  100.0%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
      3   23.1%          LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
      3  100.0%            LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17
   1156    9.2%      LazyCompile: *expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
   1156  100.0%        LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
   1156  100.0%          LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
   1156  100.0%            LazyCompile: *query /usr/src/app/node_modules/express/lib/middleware/query.js:39:24
   1067    8.4%      LazyCompile: *writeHead _http_server.js:250:19
   1054   98.8%        LazyCompile: *end _http_outgoing.js:769:45
   1054  100.0%          LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
   1005   95.4%            LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
     49    4.6%            LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
     13    1.2%        LazyCompile: ~_implicitHeader _http_server.js:245:68
     12   92.3%          LazyCompile: ~write_ _http_outgoing.js:678:16
     12  100.0%            LazyCompile: *end _http_outgoing.js:769:45
      1    7.7%          LazyCompile: ~end _http_outgoing.js:769:45
      1  100.0%            LazyCompile: ~send /usr/src/app/node_modules/express/lib/response.js:107:25
   1029    8.1%      LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
   1013   98.4%        LazyCompile: *expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
   1013  100.0%          LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
   1013  100.0%            LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
     11    1.1%        LazyCompile: ~expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
      8   72.7%          LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
      8  100.0%            LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
      3   27.3%          LazyCompile: ~handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
      3  100.0%            LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
    969    7.7%      LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
    966   99.7%        LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
    966  100.0%          LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    966  100.0%            LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
    791    6.3%      LazyCompile: *_storeHeader _http_outgoing.js:360:22
    785   99.2%        LazyCompile: *writeHead _http_server.js:250:19
    779   99.2%          LazyCompile: *end _http_outgoing.js:769:45
    779  100.0%            LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
    726    5.7%      /usr/local/bin/node
    346   47.7%        LazyCompile: *expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
    346  100.0%          LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    346  100.0%            LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
    340   46.8%        LazyCompile: *parseQueryStringValues /usr/src/app/node_modules/qs/lib/parse.js:41:50
    337   99.1%          LazyCompile: *module.exports /usr/src/app/node_modules/qs/lib/parse.js:222:27
    336   99.7%            LazyCompile: *query /usr/src/app/node_modules/express/lib/middleware/query.js:39:24
     13    1.8%        LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
     13  100.0%          LazyCompile: *expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
     13  100.0%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    409    3.2%      LazyCompile: *parseQueryStringValues /usr/src/app/node_modules/qs/lib/parse.js:41:50
    407   99.5%        LazyCompile: *module.exports /usr/src/app/node_modules/qs/lib/parse.js:222:27
    405   99.5%          LazyCompile: *query /usr/src/app/node_modules/express/lib/middleware/query.js:39:24
    405  100.0%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    288    2.3%      LazyCompile: *parserOnMessageComplete _http_common.js:145:33
    281    2.2%      LazyCompile: *emitReadable_ internal/streams/readable.js:565:23
    281  100.0%        LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
    192    1.5%      LazyCompile: *clearBuffer internal/streams/writable.js:493:21
    191   99.5%        LazyCompile: *end _http_outgoing.js:769:45
    191  100.0%          LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
    181   94.8%            LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
     10    5.2%            LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
    191    1.5%      LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
    191  100.0%        LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    191  100.0%          LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
    191  100.0%            LazyCompile: *expressInit /usr/src/app/node_modules/express/lib/middleware/init.js:29:30
    180    1.4%      LazyCompile: *<anonymous> /usr/src/app/node_modules/express/lib/request.js:467:36
    180  100.0%        /usr/local/bin/node
    180  100.0%          LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
    173   96.1%            LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
      7    3.9%            LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
    172    1.4%      LazyCompile: *endReadableNT internal/streams/readable.js:1320:23
    172  100.0%        LazyCompile: *processTicksAndRejections internal/process/task_queues.js:65:35
    538    2.6%    LazyCompile: *clearBuffer internal/streams/writable.js:493:21
    536   99.6%      LazyCompile: *end _http_outgoing.js:769:45
    536  100.0%        LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
    515   96.1%          LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
    515  100.0%            LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
     20    3.7%          LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
     20  100.0%            LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17
    287    1.4%    LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
    268   93.4%      LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
    268  100.0%        LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
    268  100.0%          LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    268  100.0%            LazyCompile: *next /usr/src/app/node_modules/express/lib/router/index.js:176:16
     13    4.5%      LazyCompile: ~find_max_campaign /usr/src/app/server.js:25:27
     13  100.0%        LazyCompile: ~<anonymous> /usr/src/app/server.js:76:17
     10   76.9%          LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
     10  100.0%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
      3   23.1%          LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
      3  100.0%            LazyCompile: ~next /usr/src/app/node_modules/express/lib/router/route.js:114:16
      6    2.1%      LazyCompile: ~json /usr/src/app/node_modules/express/lib/response.js:239:25
      6  100.0%        LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
      6  100.0%          LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
      6  100.0%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
    254    1.3%    LazyCompile: *end _http_outgoing.js:769:45
    254  100.0%      LazyCompile: *send /usr/src/app/node_modules/express/lib/response.js:107:25
    242   95.3%        LazyCompile: *<anonymous> /usr/src/app/server.js:76:17
    242  100.0%          LazyCompile: *dispatch /usr/src/app/node_modules/express/lib/router/route.js:98:45
    242  100.0%            LazyCompile: *handle /usr/src/app/node_modules/express/lib/router/layer.js:86:49
